,,,,,
1,,,Ir. AGUNG BRITANTONO,L,BANTUL
2,,,"GUNAWAN, S.H.",L,BANTUL
3,,,"TRI WAHYUNI, A.Md.",P,BANTUL
4,,,SRI LESTARI,P,SLEMAN
5,,,M. PRANASIK FAIHAAN,L,BANTUL
6,,,"DANANG WAHYU BROTO, S.E., M.Si.",L,KOTA YOGYAKARTA
"JUMLAH LAKI-LAKI: 4 JUMLAH PEREMPUAN: 2 PROSENTASE PEREMPUAN: 33,3%",,,,,
"7
PARTAI DEMOKRAT
",,,,,
NOMOR URUT,PAS FOTO,,NAMA LENGKAP,JENIS KELAMIN (L/P),KABUPATEN/KOTA (TEMPAT TINGGAL BAKAL CALON)
1,,,"Ir. GATOT SETYO SUSILO, M.M.",L,BANTUL
2,,,"CAHYADI FITRI, S.E.",L,BANTUL
3,,,ZAIROTIN KHASANAH. S.Tp.,P,BANTUL
4,,,"Ir. PETRUS LADA RIGO, M.M.",L,KOTA YOGYAKARTA
5,,,"Ir. YULIUS MARZANI, M.Si.",L,BANTUL
6,,,"NINDYANI VERANITA, S.Pd.",P,BANTUL
"JUMLAH LAKI-LAKI: 4 JUMLAH PEREMPUAN: 2 PROSENTASE PEREMPUAN: 33,3%",,,,,
"8
PARTAI AMANAT NASIONAL
",,,,,
NOMOR URUT,PAS FOTO,,NAMA LENGKAP,JENIS KELAMIN (L/P),KABUPATEN/KOTA (TEMPAT TINGGAL BAKAL CALON)
1,,,"PARYANTO, S.Ag.",L,BANTUL
2,,,Ir. ATMAJI,L,BANTUL
3,,,"ANDARTI PUJIASTUTI, S.E.",P,BANTUL
4,,,FANI SATRIA,L,KOTA YOGYAKARTA
5,,,AMALIYA HASANATUN,P,BANTUL
6,,,M. GONDO RATANGIN,L,KOTA YOGYAKARTA
"JUMLAH LAKI-LAKI: 4 JUMLAH PEREMPUAN: 2 PROSENTASE PEREMPUAN: 33,3%",,,,,
"9
PARTAI PERSATUAN PEMBANGUNAN
",,,,,
NOMOR URUT,PAS FOTO,,NAMA LENGKAP,JENIS KELAMIN (L/P),KABUPATEN/KOTA (TEMPAT TINGGAL BAKAL CALON)
1,,,Drs. H. EDY SUSILA,L,BANTUL
2,,,Dra. SITI NURJANAH,P,BANTUL
3,,,"H. AHMAD RIFQI AL MUBARROK, S.S.",L,SLEMAN
4,,,BANGUN NILAI PASMASARI KHOP,P,BANTUL
5,,,dr. H. MUH. ANWAR PRANOWO,L,BANTUL
6,,,Drs. H. MUSLIH ILYAS,L,BANTUL
"JUMLAH LAKI-LAKI: 4 JUMLAH PEREMPUAN: 2 PROSENTASE PEREMPUAN: 33,3%",,,,,
"10
PARTAI HATI NURANI RAKYAT
",,,,,
NOMOR URUT,PAS FOTO,,NAMA LENGKAP,JENIS KELAMIN (L/P),KABUPATEN/KOTA (TEMPAT TINGGAL BAKAL CALON)
1,,,"ANHAR RUSLI, S.H.",L,KOTA YOGYAKARTA
2,,,HENDRA HARSONO,L,BANTUL
3,,,"OKTAVIA ZAMHARIN, S.Psi.",P,KOTA YOGYAKARTA
4,,,"SEKAR AYU PERMATA PUTRI, S.T.",P,KOTA YOGYAKARTA
5,,,"Drs. SUTOMO SUTOPO, M.M.",L,BANYUMAS
6,,,Drs. SUDARTOYO,L,BANTUL
"JUMLAH LAKI-LAKI: 4 JUMLAH PEREMPUAN: 2 PROSENTASE PEREMPUAN: 33,3%",,,,,
"14
PARTAI BULAN BINTANG
",,,,,
NOMOR URUT,PAS FOTO,,NAMA LENGKAP,JENIS KELAMIN (L/P),KABUPATEN/KOTA (TEMPAT TINGGAL BAKAL CALON)
1,,,HANDOKO,L,KOTA YOGYAKARTA
2,,,UTAMI EMMIYANI,P,BANTUL
3,,,M. MIFTAKHUL HUDA,L,KOTA YOGYAKARTA
,,,,,
,,,,,
,,,,,
"JUMLAH LAKI-LAKI: 2 JUMLAH PEREMPUAN: 1 PROSENTASE PEREMPUAN: 33,3%",,,,,
"15
PARTAI KEADILAN DAN PERSATUAN INDONESIA
",,,,,
NOMOR URUT,PAS FOTO,,NAMA LENGKAP,JENIS KELAMIN (L/P),KABUPATEN/KOTA (TEMPAT TINGGAL BAKAL CALON)
1,,,"SUTIYONO, S.H.",L,KOTA YOGYAKARTA
2,,,PARTINI,P,BANTUL
,,,,,
,,,,,
,,,,,
,,,,,
JUMLAH LAKI-LAKI: 1 JUMLAH PEREMPUAN: 1 PROSENTASE PEREMPUAN: 50%,,,,,
,,,,,
DAFTAR CALON TETAP,,,,,
ANGGOTA DEWAN PERWAKILAN RAKYAT DAERAH D.I. YOGYAKARTA PEMILIHAN UMUM TAHUN 2014,,,,,
PROVINSI : D.I. YOGYAKARTA,,,,,
DAERAH PEMILIHAN : D.I. YOGYAKARTA 4,,,,,
MODEL BD 1,,,,,
"1
PARTAI NASDEM
",,,,,
NOMOR URUT,PAS FOTO,,NAMA LENGKAP,JENIS KELAMIN (L/P),KABUPATEN/KOTA (TEMPAT TINGGAL BAKAL CALON)
1,,,drh. SABAR WIDODO,L,KULON PROGO
2,,,H.M. R. DANU WASKITO SHW.,L,SLEMAN
3,,,ALIFAH NOOR RACHMAH ELVISTASARI,P,BANTUL
4,,,DANY DWIASTUTI ARINI,P,SLEMAN
5,,,"ROSALIA ENDAH WIDIASTUTI, S.H.",P,KOTA YOGYAKARTA
6,,,SUKIJAN,L,KULON PROGO
7,,,Drs. HERI PURWANTO,L,BANTUL
"JUMLAH LAKI-LAKI: 4 JUMLAH PEREMPUAN: 3 PROSENTASE PEREMPUAN: 42,9%",,,,,
"2
PARTAI KEBANGKITAN BANGSA
",,,,,
NOMOR URUT,PAS FOTO,,NAMA LENGKAP,JENIS KELAMIN (L/P),KABUPATEN/KOTA (TEMPAT TINGGAL BAKAL CALON)
1,,,"H.M. ANWAR HAMID, S.Sos.",L,KULONPROGO
2,,,"SOLEH WIBOWO, S.Ag.",L,KULONPROGO
3,,,FARINA YUSRIANI,P,KULONPROGO
4,,,WINARTO,L,KULONPROGO
5,,,TRI ASTUTI,P,KULONPROGO
6,,,"UNI MARDIYATI, S.Pd.",P,KOTA YOGYAKARTA
7,,,MOH. ARDAN AJI HUTAMA,L,SLEMAN
"JUMLAH LAKI-LAKI: 4 JUMLAH PEREMPUAN: 3 PROSENTASE PEREMPUAN: 42,9%",,,,,
"3
PARTAI KEADILAN SEJAHTERA
",,,,,
NOMOR URUT,PAS FOTO,,NAMA LENGKAP,JENIS KELAMIN (L/P),KABUPATEN/KOTA (TEMPAT TINGGAL BAKAL CALON)
1,,,"TRI HARJONO, S.T., M.T.",L,KULON PROGO
2,,,"NUR SASMITO, S.T., M.M.",L,KULON PROGO
3,,,"UNIE HARIANTY, S.Pd.",P,KOTA YOGYAKARTA
4,,,ENDANG RETNO SARIYAH SULASMININGSIH,P,KULON PROGO
5,,,CATUR BUDI SUSILO,L,KULON PROGO
6,,,YUFI DWI ARWATI,P,KULON PROGO
7,,,SUSILO,L,KULON PROGO
"JUMLAH LAKI-LAKI: 4 JUMLAH PEREMPUAN: 3 PROSENTASE PEREMPUAN: 42,9%",,,,,
"4
PARTAI DEMOKRASI INDONESIA PERJUANGAN
",,,,,
NOMOR URUT,PAS FOTO,,NAMA LENGKAP,JENIS KELAMIN (L/P),KABUPATEN/KOTA (TEMPAT TINGGAL BAKAL CALON)
1,,,"RYS GUNAWAN HANDOYO HB., S.H.",L,KULONPROGO
2,,,Drs. SUDARTO,L,KULONPROGO
3,,,"SITI SURYANI, S.S.",P,KULONPROGO
4,,,TUNGGAL PAWESTRI,P,KOTA TANGERANG SELATAN
5,,,"R. HERMAWAN BUDIYONO, S.H.",L,KULONPROGO
6,,,"Dra. ANIK RAHMANI, M.Si.",P,KOTA YOGYAKARTA
7,,,"THOMAS KARTAYA, B.A.",L,KULONPROGO
"JUMLAH LAKI-LAKI: 4 JUMLAH PEREMPUAN: 3 PROSENTASE PEREMPUAN: 42,9%",,,,,
"5
PARTAI GOLONGAN KARYA
",,,,,
NOMOR URUT,PAS FOTO,,NAMA LENGKAP,JENIS KELAMIN (L/P),KABUPATEN/KOTA (TEMPAT TINGGAL BAKAL CALON)
1,,,H. AHMAD MUHAMMAD,L,SLEMAN
2,,,"SUKARMAN, S.Pd.",L,KULON PROGO
3,,,"Dra. SRI KUS ENDAH, M.Si.",P,BANTUL
4,,,"ALB. GOETAMA PUTRA, S.H.",L,KULON PROGO
5,,,"LILIK SYAIFUL AHMAD, S.P.",L,KULON PROGO
6,,,"SRI HARIADININGSIH, S.H.",P,KULON PROGO
7,,,"RETNO BUDI UTAMI, A.Md.",P,KULON PROGO
"JUMLAH LAKI-LAKI: 4 JUMLAH PEREMPUAN: 3 PROSENTASE PEREMPUAN: 42,9%",,,,,
"6
PARTAI GERAKAN INDONESIA RAYA
",,,,,
NOMOR URUT,PAS FOTO,,NAMA LENGKAP,JENIS KELAMIN (L/P),KABUPATEN/KOTA (TEMPAT TINGGAL BAKAL CALON)
1,,,HERY SUMARDIYANTA,L,KULONPROGO
2,,,"Drs. H.R. MULYONO, M.A.P.",L,KULONPROGO
3,,,R.R. ESTI INTI ASIH,P,KULONPROGO
4,,,ALBANI,L,KULONPROGO
5,,,KRISNI RATNA KUSUMA,P,KULONPROGO
6,,,Hj. ENDANG EDI ASTUTI,P,SLEMAN
7,,,"SUWITO, S.H.",L,KULONPROGO
"JUMLAH LAKI-LAKI: 4 JUMLAH PEREMPUAN: 3 PROSENTASE PEREMPUAN: 42,9%",,,,,
"7
PARTAI DEMOKRAT
",,,,,
NOMOR URUT,PAS FOTO,,NAMA LENGKAP,JENIS KELAMIN (L/P),KABUPATEN/KOTA (TEMPAT TINGGAL BAKAL CALON)
1,,,"H. SUMARDJO, S.H.",L,KULON PROGO
2,,,"Drs. YANUAR SAKSONO, M.M.",L,SLEMAN
3,,,NOVI PUJI LESTARI,P,KULON PROGO
4,,,"NUNUNG IDA MUNDARSIH, S.Pd.",P,KULON PROGO
5,,,AHMAD MUFARIS,L,KOTA YOGYAKARTA
6,,,NUR WIDYASTUTI,P,KULON PROGO
7,,,Drs. NANANG SRI ROEKMADI,L,SLEMAN
"JUMLAH LAKI-LAKI: 4 JUMLAH PEREMPUAN: 3 PROSENTASE PEREMPUAN: 42,9%",,,,,
"8
PARTAI AMANAT NASIONAL
",,,,,
NOMOR URUT,PAS FOTO,,NAMA LENGKAP,JENIS KELAMIN (L/P),KABUPATEN/KOTA (TEMPAT TINGGAL BAKAL CALON)
1,,,Ir. HAMAM MUTAQIM,L,KULON PROGO
2,,,SUDARTO,L,KULON PROGO
3,,,WAHYU BAWANINGSIH,P,KULON PROGO
4,,,"GUNAWAN, S.Si.",L,KULON PROGO
5,,,"LINDA WAHYU SUSANTI, S.E.",P,KULON PROGO
6,,,"NURUL AZIZAH, S.T.",P,KOTA YOGYAKARTA
7,,,Drs. KASDIYONO,L,KULON PROGO
"JUMLAH LAKI-LAKI: 4 JUMLAH PEREMPUAN: 3 PROSENTASE PEREMPUAN: 42,9%",,,,,
"9
PARTAI PERSATUAN PEMBANGUNAN
",,,,,
NOMOR URUT,PAS FOTO,,NAMA LENGKAP,JENIS KELAMIN (L/P),KABUPATEN/KOTA (TEMPAT TINGGAL BAKAL CALON)
1,,,"Hj. ITJE SORAYA, S.E.",P,KOTA YOGYAKARTA
2,,,"Hj. IDA FATIMAH, S.Ag., MSI.",P,BANTUL
3,,,H. MUHADI,L,KULON PROGO
4,,,"Dr. SARJIMAN ARIANTO, M.Si.",L,SUMEDANG
5,,,LILIK PURNAMA,L,KULON PROGO
6,,,"SURATMAN, S.H.",L,KULON PROGO
,,,,,
JUMLAH LAKI-LAKI: 4 JUMLAH PEREMPUAN: 2 PROSENTASE PEREMPUAN: 33.3%,,,,,
"10
PARTAI HATI NURANI RAKYAT
",,,,,
NOMOR URUT,PAS FOTO,,NAMA LENGKAP,JENIS KELAMIN (L/P),KABUPATEN/KOTA (TEMPAT TINGGAL BAKAL CALON)
1,,,SITI SOEMILAH SRI PANUDJU,P,KULONPROGO
2,,,PETER BUDI SURASA,L,KULONPROGO
3,,,ISKANDAR,L,KULONPROGO
4,,,L. BAMBANG PURWADI HARGONO,L,KULONPROGO
5,,,ENY HARTATI,P,KULONPROGO
6,,,LONGGAR MUJI RAHARJO,L,KULONPROGO
,,,,,
"JUMLAH LAKI-LAKI: 4 JUMLAH PEREMPUAN: 2 PROSENTASE PEREMPUAN: 33,3%",,,,,
"14
PARTAI BULAN BINTANG
",,,,,
NOMOR URUT,PAS FOTO,,NAMA LENGKAP,JENIS KELAMIN (L/P),KABUPATEN/KOTA (TEMPAT TINGGAL BAKAL CALON)
1,,,Drs. H. YUNOHEDI,L,KOTA YOGYAKARTA
2,,,NGABIDAH,P,KULONPROGO
3,,,SUDJATMIKO,L,KOTA YOGYAKARTA
4,,,R. IZZUDIN NUR SANTJOYO,L,KULONPROGO
5,,,"FAFIDIYAH MARIFATIKA,
S.Fil.",P,KULONPROGO
,,,,,
,,,,,
JUMLAH LAKI-LAKI: 3 JUMLAH PEREMPUAN: 2 PROSENTASE PEREMPUAN: 40%,,,,,
"15
PARTAI KEADILAN DAN PERSATUAN INDONESIA
",,,,,
NOMOR URUT,PAS FOTO,,NAMA LENGKAP,JENIS KELAMIN (L/P),KABUPATEN/KOTA (TEMPAT TINGGAL BAKAL CALON)
1,,,JOKO RIYANTO,L,KOTA PEKANBARU
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
"JUMLAH LAKI-LAKI: 1 JUMLAH PEREMPUAN: 0 PROSENTASE PEREMPUAN: 0,00%",,,,,
DAFTAR CALON TETAP,,,,,
ANGGOTA DEWAN PERWAKILAN RAKYAT DAERAH D.I. YOGYAKARTA PEMILIHAN UMUM TAHUN 2014,,,,,
PROVINSI : D.I. YOGYAKARTA,,,,,
DAERAH PEMILIHAN : D.I. YOGYAKARTA 5,,,,,
MODEL BD 1,,,,,
,,,,,
"1
PARTAI NASDEM
",,,,,
NOMOR URUT,PAS FOTO,,NAMA LENGKAP,JENIS KELAMIN (L/P),KABUPATEN/KOTA (TEMPAT TINGGAL BAKAL CALON)
1,,,"WISNU AJI SURYA PRABOWO, S.IP.",L,SLEMAN
2,,,SUBARNO,L,SLEMAN
3,,,"Rr. AG. GIYANTI TITIK WARDANI, S.Pd., M.Pd.",P,SLEMAN
4,,,ROHMAT KUSNADI,L,SLEMAN
5,,,DEWI MAHARANI,P,SLEMAN
6,,,"ADI HERYADI, S.Psi., M.Psi.",L,SLEMAN
7,,,"Drs. SUTRISNO, M.A.",L,SLEMAN
8,,,"ANINDITA SARI KUSUMASTUTI, S.H.",P,SLEMAN
9,,,"AGUS BUDI RACHMANTO, S.IP., M.Si.",L,SLEMAN
"JUMLAH LAKI-LAKI: 6 JUMLAH PEREMPUAN: 3 PROSENTASE PEREMPUAN: 33,3%",,,,,
"2
PARTAI KEBANGKITAN BANGSA
",,,,,
NOMOR URUT,PAS FOTO,,NAMA LENGKAP,JENIS KELAMIN (L/P),KABUPATEN/KOTA (TEMPAT TINGGAL BAKAL CALON)
1,,,"H. SUKAMTO, S.H.",L,SLEMAN
2,,,Ir. Hj. SUHARNI,P,SLEMAN
3,,,SURATA,L,SLEMAN
4,,,TITONIYAH,P,SLEMAN
5,,,KUN SUDARYANTI,P,SLEMAN
6,,,H. KARTONO,L,SLEMAN
7,,,"R. Ngt. SUKESTI MURBANINGSIH, S.H.",P,BANTUL
8,,,MARYANTO,L,SLEMAN
9,,,Dra. SITI AISYAH,P,SLEMAN
"JUMLAH LAKI-LAKI: 4 JUMLAH PEREMPUAN: 5 PROSENTASE PEREMPUAN: 55,6%",,,,,
"3
PARTAI KEADILAN SEJAHTERA
",,,,,
NOMOR URUT,PAS FOTO,,NAMA LENGKAP,JENIS KELAMIN (L/P),KABUPATEN/KOTA (TEMPAT TINGGAL BAKAL CALON)
1,,,"M. AGUS MAS'UDI, S.T.",L,SLEMAN
2,,,"MUZNA NURHAYATI, S.Pd.",P,SLEMAN
3,,,"NANDAR WINORO, S.T.",L,SLEMAN
4,,,IMAM DIMYATI,L,SLEMAN
5,,,"INDRATI, S.H.",P,SLEMAN
6,,,MUH. HAMDAN,L,SLEMAN
7,,,"HANDASARI MOKODOMPIT, S.Si.",P,SLEMAN
8,,,ADILAH,P,SLEMAN
9,,,"MUHAMMAD NUR HAKIM, S.T.",L,SLEMAN
"JUMLAH LAKI-LAKI: 5 JUMLAH PEREMPUAN: 4 PROSENTASE PEREMPUAN: 44,4%",,,,,
"4
PARTAI DEMOKRASI INDONESIA PERJUANGAN
",,,,,
NOMOR URUT,PAS FOTO,,NAMA LENGKAP,JENIS KELAMIN (L/P),KABUPATEN/KOTA (TEMPAT TINGGAL BAKAL CALON)
1,,,"Drs. BAMBANG PRASWANTO HP., M.Sc.",L,SLEMAN
2,,,"GIMMY RUSDIN S, S.E.",L,SLEMAN
3,,,"EDIATI KUSUMA, S.E., M.M.",P,SLEMAN
4,,,"H. KOESWANTO, S.IP.",L,SLEMAN
5,,,"Drs. A. KRISNO WIBOWO, M.Si.",L,KOTA YOGYAKARTA
6,,,"LASTIANI WARIH WULANDARI, S.E., M.M.",P,SLEMAN
7,,,MOHAMMAD FIRAZ,L,SLEMAN
8,,,"Dra. SRI SURAYATI SUPANGAT, M.A.",P,SLEMAN
9,,,"Ir. LESTANTA BUDIMAN,
M.Hum.",L,KOTA YOGYAKARTA
"JUMLAH LAKI-LAKI: 6 JUMLAH PEREMPUAN: 3 PROSENTASE PEREMPUAN: 33,3%",,,,,
"5
PARTAI GOLONGAN KARYA
",,,,,
NOMOR URUT,PAS FOTO,,NAMA LENGKAP,JENIS KELAMIN (L/P),KABUPATEN/KOTA (TEMPAT TINGGAL BAKAL CALON)
1,,,"JANU ISMADI, S.E.",L,SLEMAN
2,,,"Hj. HARTATI, S.IP.",P,SLEMAN
3,,,"Drs. H. GEYOL SUGIYANTA, M.Si.",L,SLEMAN
4,,,"Drs. H. MULYANTO, M.M.",L,SLEMAN
5,,,Drs. R. BAMBANG SRIBUDOYO,L,SLEMAN
6,,,"Hj. MIATUN THOYIBAH, S.H.",P,SLEMAN
7,,,"KAREL, S.H.",L,SLEMAN
8,,,"RATNA SARI, S.E.",P,CILACAP
9,,,"TAUFIQURRAHMAN, S.H.",L,SLEMAN
"JUMLAH LAKI-LAKI: 6 JUMLAH PEREMPUAN: 3 PROSENTASE PEREMPUAN: 33,3%",,,,,
"6
PARTAI GERAKAN INDONESIA RAYA
",,,,,
NOMOR URUT,PAS FOTO,,NAMA LENGKAP,JENIS KELAMIN (L/P),KABUPATEN/KOTA (TEMPAT TINGGAL BAKAL CALON)
1,,,DHARMA SETIAWAN,L,SLEMAN
2,,,"ROBERT SILVANUS DENDENG, A.Md.TS.",L,KOTA YOGYAKARTA
3,,,"INDRI YUNI DIAN SETYOWATI, S.E.",P,KOTA YOGYAKARTA
4,,,"DANIEL DAMALEDO, S.E., M.A.",L,SLEMAN
5,,,"YUSTIWI, S.P.",P,KOTA YOGYAKARTA
6,,,SEKARLANGIT SAPTOHOEDOJO,L,SLEMAN
7,,,"R. YULIANA, S.E.",P,SLEMAN
8,,,Drs. R. WIDI HANDOKO,L,SLEMAN
9,,,SHODIQUL QIYAR,L,SLEMAN
"JUMLAH LAKI-LAKI: 6 JUMLAH PEREMPUAN: 3 PROSENTASE PEREMPUAN: 33,3%",,,,,
"7
PARTAI DEMOKRAT
",,,,,
NOMOR URUT,PAS FOTO,,NAMA LENGKAP,JENIS KELAMIN (L/P),KABUPATEN/KOTA (TEMPAT TINGGAL BAKAL CALON)
1,,,"SUTAN IMRAN, S.H.",L,SLEMAN
2,,,PUTUT WIRYAWAN,L,SLEMAN
3,,,"FREEDA MUSTHIKASARI, S.E., M.M.",P,SLEMAN
4,,,"AROM ATIKARINI, S.Psi.",P,BANTUL
5,,,Ir. WIDIASTJARJO,L,SLEMAN
6,,,"ANTONIUS SUDIBYO, S.Sos., S.H.",L,SLEMAN
7,,,"NAIKE INDIRAINI, S.E.",P,BANTUL
8,,,"SUNARYO, S.H.",L,SLEMAN
9,,,"FITRIA RAHMAWATI, S.H.",P,SLEMAN
"JUMLAH LAKI-LAKI: 5 JUMLAH PEREMPUAN: 4 PROSENTASE PEREMPUAN: 44,4%",,,,,
"8
PARTAI AMANAT NASIONAL
",,,,,
NOMOR URUT,PAS FOTO,,NAMA LENGKAP,JENIS KELAMIN (L/P),KABUPATEN/KOTA (TEMPAT TINGGAL BAKAL CALON)
1,,,"SADAR NARIMA, S.Ag., S.H.",L,SLEMAN
2,,,Rr. HERIEN SUMINARYATI,P,BANTUL
3,,,ARIEF HARTANTO,L,SLEMAN
4,,,Drs. MUH. NURROCHID,L,SLEMAN
5,,,FEBRIANA MUSTIKANINGRUM,P,SLEMAN
6,,,"IMAM SUJANGI, S.Si., Apt.",L,SLEMAN
7,,,EMI RAHMAWATI,P,SLEMAN
8,,,AGUS SRIYANTO,L,SLEMAN
9,,,DITA KUSUMANINGRUM,P,SLEMAN
"JUMLAH LAKI-LAKI: 5 JUMLAH PEREMPUAN: 4 PROSENTASE PEREMPUAN: 44,4%",,,,,
"9
PARTAI PERSATUAN PEMBANGUNAN
",,,,,
NOMOR URUT,PAS FOTO,,NAMA LENGKAP,JENIS KELAMIN (L/P),KABUPATEN/KOTA (TEMPAT TINGGAL BAKAL CALON)
1,,,H. MUHAMMAD YAZID,L,SLEMAN
2,,,Drs. MA'SUM AMRULLAH,L,KOTA YOGYAKARTA
3,,,"Hj. NUR HILDA, S.H.",P,SLEMAN
4,,,"MUHAMMAD SYAMSU RIDHO, S.E.",L,SLEMAN
5,,,RESMI DIWATIE,P,SLEMAN
6,,,Ir. NINIK INDAWATI,P,SLEMAN
7,,,MUHAMMAD MUMTAKHIN ARIEF,L,SLEMAN
8,,,"H. BUYUNG RIZAL P., S.H.",L,SLEMAN
9,,,SARJONO SA.,L,SLEMAN
JUMLAH LAKI-LAKI: 6 JUMLAH PEREMPUAN: 3 PROSENTASE PEREMPUAN: 33.3%,,,,,
"10
PARTAI HATI NURANI RAKYAT
",,,,,
NOMOR URUT,PAS FOTO,,NAMA LENGKAP,JENIS KELAMIN (L/P),KABUPATEN/KOTA (TEMPAT TINGGAL BAKAL CALON)
1,,,Kombes. Pol. (Purn.) Drs. ARDI SOEPARDI,L,SLEMAN
2,,,"LIZA NARISSANTI, S.E.",P,SLEMAN
3,,,"SUMONO PRAWIROATMODJO, S.E.",L,SLEMAN
4,,,"RESIANA ANIE SETYAWATI, A.Md.",P,KOTA YOGYAKARTA
5,,,NYOMAN WIDODO,L,BANTUL
6,,,Ir. ANDRIYANI RATNANINGSIH,P,KOTA YOGYAKARTA
7,,,RAGIL KURNIAHADI,L,SLEMAN
8,,,H. SUNJOTO GUTOMO,L,SLEMAN
9,,,"HERU SURJO PUTRA, S.E.",L,KOTA YOGYAKARTA
"JUMLAH LAKI-LAKI: 6 JUMLAH PEREMPUAN: 3 PROSENTASE PEREMPUAN: 33,3%",,,,,
"14
PARTAI BULAN BINTANG
",,,,,
